Subject,Start Date,Start Time,End Date,End Time,Description
"ІМ Пз DL ПЗПІ-23-3; №1","02/11/2025","01:10 PM","02/11/2025","02:45 PM","ІМ Пз DL ПЗПІ-23-3"
"ІМ Пз DL ПЗПІ-23-3; №2","02/11/2025","11:15 AM","02/11/2025","12:50 PM","ІМ Пз DL ПЗПІ-23-3"
"СмП Лк DL ПЗПІ-23-1,2,3,4,5; №1","02/12/2025","01:10 PM","02/12/2025","02:45 PM","СмП Лк DL ПЗПІ-23-1,2,3,4,5"
"ОС Лк DL ПЗПІ-23-1,2,3,4,5; №1","02/12/2025","02:55 PM","02/12/2025","04:30 PM","ОС Лк DL ПЗПІ-23-1,2,3,4,5"
"ОПJа Лк DL ПЗПІ-23-1,2,3,4,5; №1","02/12/2025","04:40 PM","02/12/2025","06:15 PM","ОПJа Лк DL ПЗПІ-23-1,2,3,4,5"
"ПрПА Лк DL ПЗПІ-23-1,2,3,4,5; №1","02/12/2025","11:15 AM","02/12/2025","12:50 PM","ПрПА Лк DL ПЗПІ-23-1,2,3,4,5"
"ФВ Пз DL ПЗПІ-23-3; №1","02/13/2025","01:10 PM","02/13/2025","02:45 PM","ФВ Пз DL ПЗПІ-23-3"
"ОС Лк DL ПЗПІ-23-1,2,3,4,5; №2","02/13/2025","02:55 PM","02/13/2025","04:30 PM","ОС Лк DL ПЗПІ-23-1,2,3,4,5"
"ОС Лк DL ПЗПІ-23-1,2,3,4,5; №3","02/13/2025","04:40 PM","02/13/2025","06:15 PM","ОС Лк DL ПЗПІ-23-1,2,3,4,5"
"Філ Лк DL ПЗПІ-23-1,2,3,4,5; №1","02/13/2025","11:15 AM","02/13/2025","12:50 PM","Філ Лк DL ПЗПІ-23-1,2,3,4,5"
"*ВІА Лк DL *ВІА(ПЗПІ-23-)-1;*ВІА(ПЗПІ-23-)-2;*ВІА(ПЗПІ-23-)-3;*ВІА(ПЗПІ-23-)-4;*ВІА(ПЗПІ-23-)-5; №1","02/14/2025","07:45 AM","02/14/2025","09:20 AM","*ВІА Лк DL *ВІА(ПЗПІ-23-)-1;*ВІА(ПЗПІ-23-)-2;*ВІА(ПЗПІ-23-)-3;*ВІА(ПЗПІ-23-)-4;*ВІА(ПЗПІ-23-)-5"
"*МСП Лк DL *МСП(ПЗПІ-23-)-1;*МСП(ПЗПІ-23-)-2; *ОDS Лк DL *ОDS(ПЗПІ-23-)-1;*ОDS(ПЗПІ-23-)-2; №1","02/14/2025","09:30 AM","02/14/2025","11:05 AM","*МСП Лк DL *МСП(ПЗПІ-23-)-1;*МСП(ПЗПІ-23-)-2; *ОDS Лк DL *ОDS(ПЗПІ-23-)-1;*ОDS(ПЗПІ-23-)-2"
"*ДРСД Лк DL *ДРСД(ПЗПІ-23-)-1; №1","02/15/2025","02:55 PM","02/15/2025","04:30 PM","*ДРСД Лк DL *ДРСД(ПЗПІ-23-)-1"
"*ДРСД Лк DL *ДРСД(ПЗПІ-23-)-1; №2","02/15/2025","04:40 PM","02/15/2025","06:15 PM","*ДРСД Лк DL *ДРСД(ПЗПІ-23-)-1"
"ІМ Пз DL ПЗПІ-23-3; №3","02/18/2025","01:10 PM","02/18/2025","02:45 PM","ІМ Пз DL ПЗПІ-23-3"
"ІМ Пз DL ПЗПІ-23-3; №4","02/18/2025","11:15 AM","02/18/2025","12:50 PM","ІМ Пз DL ПЗПІ-23-3"
"СмП Лк DL ПЗПІ-23-1,2,3,4,5; №2","02/19/2025","01:10 PM","02/19/2025","02:45 PM","СмП Лк DL ПЗПІ-23-1,2,3,4,5"
"ОС Лк DL ПЗПІ-23-1,2,3,4,5; №4","02/19/2025","02:55 PM","02/19/2025","04:30 PM","ОС Лк DL ПЗПІ-23-1,2,3,4,5"
"ОПJа Лк DL ПЗПІ-23-1,2,3,4,5; №2","02/19/2025","04:40 PM","02/19/2025","06:15 PM","ОПJа Лк DL ПЗПІ-23-1,2,3,4,5"
"ПрПА Лк DL ПЗПІ-23-1,2,3,4,5; №2","02/19/2025","11:15 AM","02/19/2025","12:50 PM","ПрПА Лк DL ПЗПІ-23-1,2,3,4,5"
"ФВ Пз DL ПЗПІ-23-3; №2","02/20/2025","01:10 PM","02/20/2025","02:45 PM","ФВ Пз DL ПЗПІ-23-3"
"ОС Лк DL ПЗПІ-23-1,2,3,4,5; №5","02/20/2025","02:55 PM","02/20/2025","04:30 PM","ОС Лк DL ПЗПІ-23-1,2,3,4,5"
"ОПJа Лк DL ПЗПІ-23-1,2,3,4,5; №3","02/20/2025","04:40 PM","02/20/2025","06:15 PM","ОПJа Лк DL ПЗПІ-23-1,2,3,4,5"
"Філ Лк DL ПЗПІ-23-1,2,3,4,5; №2","02/20/2025","11:15 AM","02/20/2025","12:50 PM","Філ Лк DL ПЗПІ-23-1,2,3,4,5"
"*ВІА Лк DL *ВІА(ПЗПІ-23-)-1;*ВІА(ПЗПІ-23-)-2;*ВІА(ПЗПІ-23-)-3;*ВІА(ПЗПІ-23-)-4;*ВІА(ПЗПІ-23-)-5; №2","02/21/2025","07:45 AM","02/21/2025","09:20 AM","*ВІА Лк DL *ВІА(ПЗПІ-23-)-1;*ВІА(ПЗПІ-23-)-2;*ВІА(ПЗПІ-23-)-3;*ВІА(ПЗПІ-23-)-4;*ВІА(ПЗПІ-23-)-5"
"*МСП Лк DL *МСП(ПЗПІ-23-)-1;*МСП(ПЗПІ-23-)-2; *ОDS Лк DL *ОDS(ПЗПІ-23-)-1;*ОDS(ПЗПІ-23-)-2; №2","02/21/2025","09:30 AM","02/21/2025","11:05 AM","*МСП Лк DL *МСП(ПЗПІ-23-)-1;*МСП(ПЗПІ-23-)-2; *ОDS Лк DL *ОDS(ПЗПІ-23-)-1;*ОDS(ПЗПІ-23-)-2"
"*ДРСД Лк DL *ДРСД(ПЗПІ-23-)-1; №3","02/22/2025","02:55 PM","02/22/2025","04:30 PM","*ДРСД Лк DL *ДРСД(ПЗПІ-23-)-1"
"*ДРСД Лк DL *ДРСД(ПЗПІ-23-)-1; №4","02/22/2025","04:40 PM","02/22/2025","06:15 PM","*ДРСД Лк DL *ДРСД(ПЗПІ-23-)-1"
"ІМ Пз DL ПЗПІ-23-3; №5","02/25/2025","01:10 PM","02/25/2025","02:45 PM","ІМ Пз DL ПЗПІ-23-3"
"ОПJа Пз DL ПЗПІ-23-3; №1","02/25/2025","02:55 PM","02/25/2025","04:30 PM","ОПJа Пз DL ПЗПІ-23-3"
"ОПJа Пз DL ПЗПІ-23-3; №2","02/25/2025","04:40 PM","02/25/2025","06:15 PM","ОПJа Пз DL ПЗПІ-23-3"
"ІМ Пз DL ПЗПІ-23-3; №6","02/25/2025","11:15 AM","02/25/2025","12:50 PM","ІМ Пз DL ПЗПІ-23-3"
"СмП Лк DL ПЗПІ-23-1,2,3,4,5; №3","02/26/2025","01:10 PM","02/26/2025","02:45 PM","СмП Лк DL ПЗПІ-23-1,2,3,4,5"
"*ВІА Пз DL *ВІА(ПЗПІ-23-)-3; №1","02/26/2025","07:45 AM","02/26/2025","09:20 AM","*ВІА Пз DL *ВІА(ПЗПІ-23-)-3"
"*ВІА Пз DL *ВІА(ПЗПІ-23-)-3; №2","02/26/2025","09:30 AM","02/26/2025","11:05 AM","*ВІА Пз DL *ВІА(ПЗПІ-23-)-3"
"ПрПА Лк DL ПЗПІ-23-1,2,3,4,5; №3","02/26/2025","11:15 AM","02/26/2025","12:50 PM","ПрПА Лк DL ПЗПІ-23-1,2,3,4,5"
"ФВ Пз DL ПЗПІ-23-3; №3","02/27/2025","01:10 PM","02/27/2025","02:45 PM","ФВ Пз DL ПЗПІ-23-3"
"ОС Лк DL ПЗПІ-23-1,2,3,4,5; №6","02/27/2025","02:55 PM","02/27/2025","04:30 PM","ОС Лк DL ПЗПІ-23-1,2,3,4,5"
"ОПJа Лк DL ПЗПІ-23-1,2,3,4,5; №4","02/27/2025","04:40 PM","02/27/2025","06:15 PM","ОПJа Лк DL ПЗПІ-23-1,2,3,4,5"
"Філ Лк DL ПЗПІ-23-1,2,3,4,5; №3","02/27/2025","11:15 AM","02/27/2025","12:50 PM","Філ Лк DL ПЗПІ-23-1,2,3,4,5"
"*ВІА Лк DL *ВІА(ПЗПІ-23-)-1;*ВІА(ПЗПІ-23-)-2;*ВІА(ПЗПІ-23-)-3;*ВІА(ПЗПІ-23-)-4;*ВІА(ПЗПІ-23-)-5; №3","02/28/2025","07:45 AM","02/28/2025","09:20 AM","*ВІА Лк DL *ВІА(ПЗПІ-23-)-1;*ВІА(ПЗПІ-23-)-2;*ВІА(ПЗПІ-23-)-3;*ВІА(ПЗПІ-23-)-4;*ВІА(ПЗПІ-23-)-5"
"*МСП Лк DL *МСП(ПЗПІ-23-)-1;*МСП(ПЗПІ-23-)-2; *ОDS Лк DL *ОDS(ПЗПІ-23-)-1;*ОDS(ПЗПІ-23-)-2; №3","02/28/2025","09:30 AM","02/28/2025","11:05 AM","*МСП Лк DL *МСП(ПЗПІ-23-)-1;*МСП(ПЗПІ-23-)-2; *ОDS Лк DL *ОDS(ПЗПІ-23-)-1;*ОDS(ПЗПІ-23-)-2"
